,loc_name,loc_rating,geo_location,href
0,Allah Badsha Gas Center,4.0,"('31.4491741', '74.3505604')",https://www.google.com/maps/place/Allah+Badsha+Gas+Center/data=!4m7!3m6!1s0x391906f3afbb16fd:0xf1af305e2fc1a479!8m2!3d31.4491741!4d74.3505604!16s%2Fg%2F11bxdyhwlw!19sChIJ_Ra7r_MGGTkReaTBL14wr_E?authuser=0&hl=en&rclk=1
1,Allah Tawakal LPG Gas Point,4.8,"('31.4723208', '74.2987105')",https://www.google.com/maps/place/Allah+Tawakal+LPG+Gas+Point/data=!4m7!3m6!1s0x39190387965280d5:0xcd72644ca97acd5b!8m2!3d31.4723208!4d74.2987105!16s%2Fg%2F11f6nrrb0l!19sChIJ1YBSlocDGTkRW816qUxkcs0?authuser=0&hl=en&rclk=1
2,Askari CNG Station,3.8,"('31.4587676', '74.3289836')",https://www.google.com/maps/place/Askari+CNG+Station/data=!4m7!3m6!1s0x391906bb7c6a610f:0xf2f7293be3d42277!8m2!3d31.4587676!4d74.3289836!16s%2Fg%2F1tfd5bsx!19sChIJD2FqfLsGGTkRdyLU4zsp9_I?authuser=0&hl=en&rclk=1
3,Attock Fuelling Station,3.8,"('31.4817228', '74.3073754')",https://www.google.com/maps/place/Attock+Fuelling+Station/data=!4m7!3m6!1s0x391903f741edb055:0x6d3da469c56c03b9!8m2!3d31.4817228!4d74.3073754!16s%2Fg%2F1ptybb3jx!19sChIJVbDtQfcDGTkRuQNsxWmkPW0?authuser=0&hl=en&rclk=1
4,Attock Petrol & Diesel Station,3.7,"('31.458745', '74.3289886')",https://www.google.com/maps/place/Attock+Petrol+%26+Diesel+Station/data=!4m7!3m6!1s0x391906bb7b7171e3:0x759426df1317631a!8m2!3d31.458745!4d74.3289886!16s%2Fg%2F11cmsp8d9z!19sChIJ43Fxe7sGGTkRGmMXE98mlHU?authuser=0&hl=en&rclk=1
5,Attock Petroleum,3.9,"('31.5086689', '74.3463476')",https://www.google.com/maps/place/Attock+Petroleum/data=!4m7!3m6!1s0x3919045abad41d29:0x6a6cc37ddbea5c70!8m2!3d31.5086689!4d74.3463476!16s%2Fg%2F1tkd_bs8!19sChIJKR3UuloEGTkRcFzq233DbGo?authuser=0&hl=en&rclk=1
6,Attock Petroleum,4.2,"('31.5560236', '74.3401386')",https://www.google.com/maps/place/Attock+Petroleum/data=!4m7!3m6!1s0x391904c945bd3951:0x46018838fba17ceb!8m2!3d31.5560236!4d74.3401386!16s%2Fg%2F11ckr91y62!19sChIJUTm9RckEGTkR63yh-ziIAUY?authuser=0&hl=en&rclk=1
7,Attock gas station,3.0,"('31.3186529', '74.3903928')",https://www.google.com/maps/place/Attock+gas+station/data=!4m7!3m6!1s0x3919a9b3b9b66559:0x8caf502f23f93b65!8m2!3d31.3186529!4d74.3903928!16s%2Fg%2F11sr666xsh!19sChIJWWW2ubOpGTkRZTv5Iy9Qr4w?authuser=0&hl=en&rclk=1
8,Attock petrol station,4.3,"('31.5259923', '74.3024732')",https://www.google.com/maps/place/Attock+petrol+station/data=!4m7!3m6!1s0x3919031b673feccd:0x34284fe42c978ffc!8m2!3d31.5259923!4d74.3024732!16s%2Fg%2F11hw5bmq19!19sChIJzew_ZxsDGTkR_I-XLORPKDQ?authuser=0&hl=en&rclk=1
9,BABAR GASOLINE,3.0,"('31.4569792', '74.2972527')",https://www.google.com/maps/place/BABAR+GASOLINE/data=!4m7!3m6!1s0x3919015ac2203897:0x789c3950792561a3!8m2!3d31.4569792!4d74.2972527!16s%2Fg%2F11mpmy4rdf!19sChIJlzggwloBGTkRo2EleVA5nHg?authuser=0&hl=en&rclk=1
